country,latitude,longitude,value,type
India,27.486,95.1718,1,incidents
India,27.4923,95.3467,3,incidents
India,27.5487,93.8178,1,incidents
India,27.5664,95.5544,1,incidents
India,27.5742,81.5947,1,incidents
India,27.6395,95.6709,2,incidents
India,27.6636,80.4737,1,incidents
India,27.9482,80.7793,1,incidents
India,28.0663,95.3268,1,incidents
India,28.3077,78.9367,1,incidents
India,28.4404,74.4937,1,incidents
India,28.6193,77.233,2,incidents
India,28.6213,77.2067,4,incidents
India,28.6321,77.2244,6,incidents
India,28.6416,77.2397,1,incidents
India,28.657,77.2336,1,incidents
India,28.6653,77.4391,2,incidents
India,28.6866,77.283,2,incidents
India,28.7082,77.2595,1,incidents
India,28.7101,77.223,2,incidents
India,28.7123,77.1809,2,incidents
India,28.7158,77.0259,2,incidents
India,28.8389,78.7768,1,incidents
India,29.1539,75.7229,1,incidents
India,29.2225,79.5286,1,incidents
India,29.3157,76.315,1,incidents
India,29.5152,75.4555,1,incidents
India,29.8427,76.1137,1,incidents
India,30.245,75.8448,1,incidents
India,30.3229,78.0316,1,incidents
India,30.425,76.6866,1,incidents
India,30.6882,76.7062,1,incidents
India,30.7362,76.7884,5,incidents
India,31.0188,75.7911,1,incidents
India,31.2146,75.196,1,incidents
India,31.2245,75.7738,1,incidents
India,31.3255,75.5791,1,incidents
India,31.6344,74.8728,1,incidents
India,32.3867,75.5174,3,incidents
India,32.543,74.692,1,incidents
India,32.647,74.8151,1,incidents
India,32.7357,74.8691,1,incidents
India,32.9243,75.1357,2,incidents
India,32.9917,74.932,1,incidents
India,33.0495,74.4881,1,incidents
India,33.1454,75.5635,1,incidents
India,33.1599,74.2408,1,incidents
India,33.3716,74.3153,1,incidents
India,33.7165,74.8342,1,incidents
India,33.73,75.15,1,incidents
India,33.7703,74.0925,1,incidents
India,33.816,75.2138,1,incidents
India,33.8297,75.075,1,incidents
India,33.8741,74.9001,2,incidents
India,33.9908,74.6823,1,incidents
India,34.0152,74.7207,1,incidents
India,34.0611,74.4257,1,incidents
India,34.0857,74.8056,7,incidents
India,34.1004,74.8197,1,incidents
India,34.209,74.3429,2,incidents
India,34.4173,74.6431,1,incidents
Maldives,4.1748,73.5101,8,incidents
Nepal,26.4551,87.2701,12,incidents
Nepal,26.4626,87.4891,1,incidents
Nepal,26.5027,87.1275,2,incidents
Nepal,26.5125,87.8701,1,incidents
Nepal,26.5397,86.748,11,incidents
Nepal,26.544,88.0944,1,incidents
Nepal,26.5865,86.7484,1,incidents
Nepal,26.609,86.4285,1,incidents
Nepal,26.6146,87.0922,1,incidents
Nepal,26.6316,86.3009,1,incidents
Nepal,26.6318,86.3452,1,incidents
Nepal,26.6384,86.4391,1,incidents
Nepal,26.644,87.993,2,incidents
Nepal,26.6475,88.1547,1,incidents
Nepal,26.6492,85.8002,2,incidents
Nepal,26.6542,86.208,3,incidents
Nepal,26.6589,87.3454,1,incidents
Nepal,26.66,87.6976,3,incidents
Nepal,26.6637,87.274,2,incidents
Nepal,26.6675,87.4351,1,incidents
Nepal,26.6708,85.9858,1,incidents
Nepal,26.7202,86.4826,1,incidents
Nepal,26.7258,86.0948,1,incidents
Nepal,26.7288,85.9263,8,incidents
Nepal,26.7645,85.2784,5,incidents
Nepal,26.7919,86.699,5,incidents
Nepal,26.7925,86.3308,1,incidents
Nepal,26.798,86.0975,1,incidents
Nepal,26.8144,87.2797,5,incidents
Nepal,26.8253,86.2493,1,incidents
Nepal,26.8566,85.5594,1,incidents
Nepal,26.8609,85.7462,1,incidents
Nepal,26.8878,85.8185,1,incidents
Nepal,26.9094,87.9282,1,incidents
Nepal,26.9192,85.7814,1,incidents
Nepal,26.9471,85.1302,1,incidents
Nepal,26.9801,87.3453,2,incidents
Nepal,26.9807,85.2398,2,incidents
Nepal,26.9833,85.8936,1,incidents
Nepal,27.0,85.58,1,incidents
Nepal,27.0104,84.8774,15,incidents
Nepal,27.033,85.0032,5,incidents
Nepal,27.0434,85.3973,1,incidents
Nepal,27.1128,87.5369,1,incidents
Nepal,27.119,85.4927,2,incidents
Nepal,27.1452,87.7634,2,incidents
Nepal,27.15,85.9,1,incidents
Nepal,27.1715,87.0461,1,incidents
Nepal,27.216,86.7935,3,incidents
Nepal,27.2927,87.3208,1,incidents
Nepal,27.307,86.5093,1,incidents
Nepal,27.3571,87.6723,1,incidents
Nepal,27.3747,87.2039,2,incidents
Nepal,27.3778,86.069,2,incidents
Nepal,27.4284,85.0322,6,incidents
Nepal,27.5011,86.5869,2,incidents
Nepal,27.5035,83.4356,3,incidents
Nepal,27.5057,83.4163,1,incidents
Nepal,27.5333,83.6667,3,incidents
Nepal,27.5408,83.7938,1,incidents
Nepal,27.5445,83.0536,2,incidents
Nepal,27.572,85.5826,1,incidents
Nepal,27.605,84.5731,1,incidents
Nepal,27.6189,85.553,1,incidents
Nepal,27.6193,84.5201,1,incidents
Nepal,27.6201,83.4729,2,incidents
Nepal,27.6282,84.1056,2,incidents
Nepal,27.6325,85.5219,1,incidents
Nepal,27.6651,86.0477,2,incidents
Nepal,27.6721,82.8856,1,incidents
Nepal,27.673,85.4301,1,incidents
Nepal,27.6743,85.3183,4,incidents
Nepal,27.6768,84.4359,9,incidents
Nepal,27.6787,85.2775,1,incidents
Nepal,27.7006,83.4484,12,incidents
Nepal,27.7017,85.3206,78,incidents
Nepal,27.768,84.8602,1,incidents
Nepal,27.7759,85.7133,2,incidents
Nepal,27.8436,82.7736,1,incidents
Nepal,27.8673,83.5467,3,incidents
Nepal,27.9071,84.9337,1,incidents
